"","fov","cell_ID","x_global_px","y_global_px","x_local_px","y_local_px","z","target","CellComp"
"387",2,358,10013.5428602431,140093.593061659,2807.9873046875,3338.03750610352,0,"EOMES","Nuclear"
"388",2,358,10003.4889051649,140082.455549452,2797.93334960938,3326.89999389648,0,"LGALS1","Nuclear"
"389",2,358,10058.8431532118,140094.043043349,2853.28759765625,3338.48748779297,0,"RPL22","Cytoplasm"
"390",2,358,10033.4840223524,140068.241285536,2827.92846679688,3312.68572998047,0,"INSR","Nuclear"
"391",2,358,10009.4552137587,140090.855573866,2803.89965820312,3335.30001831055,0,"GPX1","Nuclear"
"392",2,358,10039.5555555556,140088.535536024,2834,3332.97998046875,0,"SPRY2","Nuclear"
"393",2,358,10059.5020887587,140089.482252333,2853.94653320312,3333.92669677734,0,"H4C3","Cytoplasm"
"394",2,358,10035.8446180556,140088.233350966,2830.2890625,3332.67779541016,0,"STMN1","Nuclear"
"395",2,358,10036.9981825087,140094.184126112,2831.44262695312,3338.62857055664,0,"SOX4","Nuclear"
"396",2,358,10008.7157118056,140094.615553114,2803.16015625,3339.05999755859,0,"S100A2","Nuclear"
"397",2,358,10021.8888075087,140088.166670058,2816.33325195312,3332.61111450195,0,"RPL32","Nuclear"
"398",2,358,10021.1156141493,140087.255567763,2815.56005859375,3331.70001220703,0,"GSTP1","Nuclear"
"399",2,358,10019.9554578993,140066.235548231,2814.39990234375,3310.67999267578,0,"CASP8","Nuclear"
"400",2,358,10007.2889539931,140089.188886854,2801.7333984375,3333.63333129883,0,"H2AZ1","Nuclear"
"401",2,358,10010.6956922743,140064.055555556,2805.14013671875,3308.5,0,"PTGDR2","Nuclear"
"402",2,358,10033.6839735243,140083.155561659,2828.12841796875,3327.60000610352,0,"HSP90AB1","Nuclear"
"403",2,358,10033.8055555556,140072.880567763,2828.25,3317.32501220703,4,"VIM","Nuclear"
"404",2,358,10056.9889051649,140087.922224257,2851.43334960938,3332.36666870117,4,"STMN1","Membrane"
"405",2,358,10054.4557020399,140090.441267225,2848.90014648438,3334.88571166992,4,"HSPA1A","Membrane"
"406",2,358,10000.7054578993,140072.480543349,2795.14990234375,3316.92498779297,4,"NFKBIA","Nuclear"
"407",2,358,10032.7755262587,140075.595533583,2827.21997070312,3320.03997802734,4,"VIM","Nuclear"
"408",2,358,10050.7555067274,140085.880567763,2845.19995117188,3330.32501220703,4,"S100A4","Nuclear"
"409",2,358,10056.6720106337,140092.52223036,2851.11645507812,3336.96667480469,4,"SEC61G","Cytoplasm"
"410",2,358,10003.2057020399,140086.830549452,2797.65014648438,3331.27499389648,4,"VIM","Nuclear"
"411",2,358,10047.0306532118,140094.230543349,2841.47509765625,3338.67498779297,4,"GSTP1","Nuclear"
"412",2,358,10033.3390028212,140074.405531141,2827.78344726562,3318.84997558594,4,"VIM","Nuclear"
"413",2,358,10044.8475477431,140094.788892958,2839.2919921875,3339.23333740234,4,"IGF2R","Nuclear"
"414",2,358,10049.6373426649,140088.937360975,2844.08178710938,3333.38180541992,4,"MIF","Nuclear"
"415",2,358,10058.6412489149,140094.155592177,2853.08569335938,3338.60003662109,4,"SOD1","Cytoplasm"
"416",2,358,10016.1700575087,140094.184126112,2810.61450195312,3338.62857055664,-1,"MYC","Nuclear"
"417",2,358,10015.9356825087,140067.555555556,2810.38012695312,3312,-1,"CXCL10","Nuclear"
"418",2,358,10020.8128797743,140091.041242811,2815.25732421875,3335.48568725586,-1,"UBE2C","Nuclear"
"419",2,358,10025.9410536024,140071.812696669,2820.38549804688,3316.25714111328,-1,"IFITM3","Nuclear"
"420",2,358,10019.9271375868,140066.212690565,2814.37158203125,3310.65713500977,-1,"CASP8","Nuclear"
"421",2,358,10024.0306532118,140098.655561659,2818.47509765625,3343.10000610352,-1,"MZT2A","Nuclear"
"422",2,358,10026.9930555556,140055.355573866,2821.4375,3299.80001831055,-1,"TYK2","Nuclear"
"423",2,358,10036.9557020399,140094.105543349,2831.40014648438,3338.54998779297,-1,"SOX4","Nuclear"
